NIM;Nama;Tahun_Masuk;Jenis_Kelamin;IPS1;IPS2;IPS3;IPS4;IPK;MK_Gagal;SKS_Lulus;Status_Skripsi;Jumlah_Bimbingan;Kehadiran;Keaktifan_Organisasi;Status_Cuti;Rata_IPS;Progress_SKS;Tren_IP;Ontime
2020191033;Vanesa Sihombing;2019;L;2.74;2.63;2.1;2.19;2.9;7;117;2;0;73;Tidak Aktif;0;2.42;0.81;-0.55;0
2020181034;Puti Paris Yolanda;2018;P;2.81;3.01;3.66;3.01;3.16;2;141;3;11;96;Aktif;0;3.12;0.98;0.2;1
2020191035;Kariman Halimah, S.IP;2019;L;3.63;3.62;3.22;3.71;3.24;2;127;5;17;92;Aktif;0;3.54;0.88;0.08;1
2020221036;Drs. Irma Widodo, S.T.;2022;L;3.7;3.61;3.85;3.66;3.57;2;144;3;12;93;Tidak Aktif;0;3.71;1.0;-0.04;1
2020201037;Ir. Tiara Hartati;2020;L;3.24;3.19;3.24;3.97;3.39;2;135;3;18;92;Aktif;0;3.41;0.94;0.73;1
2020201038;Ian Purwanti;2020;P;2.56;2.83;2.6;2.69;2.49;5;118;0;0;64;Aktif;0;2.67;0.82;0.13;0
2020221039;Dr. Siska Maulana;2022;L;3.67;3.21;3.02;3.65;3.18;2;133;3;21;82;Aktif;0;3.39;0.92;-0.02;1
2020201040;Lasmono Iswahyudi, M.M.;2020;P;2.94;2.99;2.44;2.02;2.93;4;98;2;4;69;Aktif;1;2.6;0.68;-0.92;0
2020181041;Edi Rahimah;2018;L;3.96;3.96;3.85;3.29;3.39;1;128;3;14;88;Tidak Aktif;0;3.76;0.89;-0.67;1
2020221042;Margana Ramadan;2022;L;2.18;2.02;2.67;3.12;2.7;8;91;0;4;66;Tidak Aktif;1;2.5;0.63;0.94;0
2020181043;Zizi Laksmiwati;2018;L;2.92;3.58;3.99;3.14;3.52;2;138;4;11;80;Tidak Aktif;0;3.41;0.96;0.22;1
2020191044;Sutan Jarwadi Winarsih;2019;P;2.69;2.71;2.84;2.43;2.29;4;117;1;8;72;Tidak Aktif;0;2.67;0.81;-0.26;0
2020181045;Dt. Mariadi Salahudin, S.IP;2018;L;2.77;2.93;3.1;2.61;2.5;8;79;2;0;76;Tidak Aktif;0;2.85;0.55;-0.16;0
2020211046;Gaiman Ardianto;2021;L;2.58;2.71;2.95;3.07;2.34;3;89;1;0;78;Tidak Aktif;0;2.83;0.62;0.49;0
2020191047;Nalar Aryani;2019;L;2.91;3.54;3.04;3.47;3.54;1;142;4;14;87;Aktif;0;3.24;0.99;0.56;1
2020191048;H. Teddy Nababan, S.Ked;2019;P;3.51;2.93;3.04;3.82;3.36;0;130;5;20;93;Aktif;0;3.33;0.9;0.31;1
2020201049;Tgk. Michelle Hastuti, S.Kom;2020;L;3.43;3.75;3.22;3.62;3.09;2;128;4;11;95;Aktif;0;3.5;0.89;0.19;1
2020191050;Puji Pratiwi;2019;P;3.44;3.49;3.64;3.73;3.98;1;134;3;17;80;Aktif;0;3.58;0.93;0.29;1
2020211051;Drs. Indah Prastuti;2021;P;3.19;3.77;3.27;3.44;3.08;1;127;4;21;100;Tidak Aktif;0;3.42;0.88;0.25;1
2020221052;Ir. Putri Safitri, M.TI.;2022;P;3.96;3.82;3.7;3.41;3.17;0;128;4;15;98;Tidak Aktif;0;3.72;0.89;-0.55;1
2020181053;R. Cornelia Riyanti, S.H.;2018;L;3.1;3.5;3.71;3.66;3.28;2;138;4;20;93;Aktif;0;3.49;0.96;0.56;1
2020211054;Arta Pratama;2021;L;2.69;2.52;2.73;2.5;2.25;5;72;2;6;50;Aktif;1;2.61;0.5;-0.19;0
2020211055;Caraka Nuraini;2021;L;3.71;2.92;3.12;3.05;3.04;2;135;5;20;83;Tidak Aktif;0;3.2;0.94;-0.66;1
2020221056;Wisnu Sinaga;2022;P;2.64;2.42;2.12;2.59;2.47;8;96;1;6;72;Tidak Aktif;0;2.44;0.67;-0.05;0
2020191057;Restu Anggriawan;2019;P;3.32;3.34;3.62;3.64;3.05;2;137;5;15;99;Tidak Aktif;0;3.48;0.95;0.32;1
2020211058;Intan Usamah;2021;L;3.55;3.45;3.86;3.66;3.16;1;134;3;23;98;Tidak Aktif;0;3.63;0.93;0.11;1
2020211059;Karimah Saefullah;2021;P;3.57;2.93;3.59;3.94;3.58;1;131;5;25;85;Aktif;0;3.51;0.91;0.37;1
2020201060;Dr. Natalia Rahimah;2020;P;3.57;3.4;3.55;3.94;3.39;0;132;5;19;87;Aktif;0;3.61;0.92;0.37;1
2020191061;Gawati Gunawan;2019;L;2.89;2.05;2.08;2.12;2.02;3;85;1;9;77;Aktif;1;2.29;0.59;-0.77;0
2020211062;Rendy Anggriawan;2021;L;3.62;2.98;3.32;3.84;3.02;2;137;4;22;87;Aktif;0;3.44;0.95;0.22;1
2020181063;R.A. Elma Handayani, S.Kom;2018;L;2.14;1.95;2.84;2.75;2.88;6;84;0;8;64;Aktif;0;2.42;0.58;0.61;0
2020181064;Saadat Mustofa;2018;P;2.76;2.17;2.21;2.9;2.81;4;121;1;8;67;Tidak Aktif;1;2.51;0.84;0.14;0
2020221065;Dadap Hutapea;2022;P;2.3;2.28;2.93;2.41;2.93;7;98;0;7;64;Tidak Aktif;0;2.48;0.68;0.11;0
2020201066;Novi Pradipta;2020;P;2.31;2.78;2.91;2.12;2.9;8;85;1;7;52;Tidak Aktif;0;2.53;0.59;-0.19;0
2020201067;Nugraha Mahendra, S.Gz;2020;P;3.79;3.25;3.9;3.39;3.01;1;142;3;14;84;Aktif;0;3.58;0.99;-0.4;1
2020211068;Galar Utami;2021;L;1.91;2.22;3.14;3.14;2.57;8;83;0;6;63;Tidak Aktif;1;2.6;0.58;1.23;0
2020211069;Vanesa Astuti;2021;L;3.34;3.22;3.33;3.67;3.75;0;138;4;10;98;Tidak Aktif;0;3.39;0.96;0.33;1
2020211070;Rahmi Simanjuntak;2021;L;2.75;1.92;2.59;2.07;2.55;5;89;1;6;67;Aktif;1;2.33;0.62;-0.68;0
2020191071;Cut Puji Hasanah, S.H.;2019;P;3.87;3.29;3.12;3.14;3.76;1;140;3;22;90;Tidak Aktif;0;3.36;0.97;-0.73;1
2020191072;Mursinin Saputra;2019;P;2.92;2.99;3.7;3.07;3.82;0;144;5;10;92;Aktif;0;3.17;1.0;0.15;1
2020181073;Harimurti Andriani;2018;P;1.9;1.91;3.18;2.45;2.37;4;99;0;0;58;Tidak Aktif;1;2.36;0.69;0.55;0
2020191074;Pranata Sihombing;2019;P;2.94;3.08;2.9;2.45;2.08;5;91;1;4;74;Tidak Aktif;1;2.84;0.63;-0.49;0
2020181075;R. Ika Anggriawan, S.IP;2018;P;2.47;2.35;3.09;2.13;2.49;3;117;2;0;61;Aktif;0;2.51;0.81;-0.34;0
2020181076;R.M. Reza Riyanti, S.Psi;2018;L;3.36;2.96;3.12;3.12;3.65;0;131;3;14;87;Aktif;0;3.14;0.91;-0.24;1
2020211077;Jessica Mahendra;2021;L;2.5;3.05;2.45;2.34;2.87;7;83;1;4;74;Tidak Aktif;0;2.58;0.58;-0.16;0
2020221078;Jarwadi Prakasa;2022;L;3.96;2.91;3.97;3.04;3.89;0;134;3;10;89;Tidak Aktif;0;3.47;0.93;-0.92;1
2020211079;R.M. Upik Novitasari, S.Sos;2021;L;3.99;2.98;3.55;3.97;3.52;0;143;5;17;83;Tidak Aktif;0;3.62;0.99;-0.02;1
2020221080;Ridwan Prastuti, S.I.Kom;2022;L;3.63;3.4;3.63;3.58;3.9;2;126;4;23;91;Aktif;0;3.56;0.88;-0.05;1
2020221081;Putu Marpaung, S.Psi;2022;P;3.14;3.95;3.89;3.46;3.62;0;138;4;13;93;Tidak Aktif;0;3.61;0.96;0.32;1
2020211082;Anastasia Pratama;2021;L;3.03;3.41;3.35;3.58;3.08;1;130;5;18;99;Tidak Aktif;0;3.34;0.9;0.55;1
2020211083;R.A. Michelle Wahyudin;2021;P;2.98;2.71;2.64;2.37;2.81;8;107;1;5;77;Aktif;0;2.67;0.74;-0.61;0
2020201084;Sutan Jagaraga Pudjiastuti, S.Ked;2020;P;2.0;2.98;2.99;3.14;2.73;4;118;1;9;69;Tidak Aktif;1;2.78;0.82;1.14;0
2020181085;Olga Mayasari, S.E.I;2018;P;3.3;3.93;3.87;3.05;3.03;1;130;4;16;91;Tidak Aktif;0;3.54;0.9;-0.25;1
2020201086;Sutan Bambang Uwais;2020;P;3.77;3.99;3.15;3.59;3.38;2;133;5;10;96;Aktif;0;3.62;0.92;-0.18;1
2020181087;Nadine Wulandari;2018;L;2.81;2.89;2.56;2.5;2.27;8;96;1;8;74;Aktif;1;2.69;0.67;-0.31;0
2020211088;Lalita Uyainah;2021;P;3.84;3.79;4.0;4.0;3.56;0;127;4;17;92;Aktif;0;3.91;0.88;0.16;1
2020201089;Ir. Makuta Samosir, S.Ked;2020;P;2.93;2.9;2.3;2.54;2.13;6;105;2;5;63;Tidak Aktif;1;2.67;0.73;-0.39;0
2020211090;Drs. Chandra Anggraini;2021;P;2.53;2.1;2.81;2.74;2.36;5;86;0;1;73;Aktif;1;2.54;0.6;0.21;0
2020181091;Wani Mulyani, M.Kom.;2018;L;3.61;3.47;3.77;3.52;3.85;0;131;5;25;88;Tidak Aktif;0;3.59;0.91;-0.09;1
2020181092;Cakrawangsa Najmudin;2018;L;3.47;3.86;3.4;3.13;3.03;1;132;4;15;89;Aktif;0;3.46;0.92;-0.34;1
2020221093;Sabrina Mangunsong, S.H.;2022;L;2.54;2.72;2.26;2.16;2.01;5;72;0;8;59;Aktif;1;2.42;0.5;-0.38;0
2020181094;dr. Latif Laksita, S.Pt;2018;L;3.51;3.33;3.44;3.9;3.35;2;134;4;25;94;Tidak Aktif;0;3.54;0.93;0.39;1
2020191095;Amelia Nasyiah;2019;L;3.74;3.34;3.62;3.86;3.95;1;140;3;12;92;Tidak Aktif;0;3.64;0.97;0.12;1
2020181096;Kayla Maheswara;2018;L;3.91;3.44;3.26;3.46;3.98;0;129;5;19;82;Aktif;0;3.52;0.9;-0.45;1
2020181097;Tgk. Raisa Wahyuni;2018;P;3.19;3.6;3.24;3.08;3.13;2;144;5;17;96;Tidak Aktif;0;3.28;1.0;-0.11;1
2020211098;Tgk. Yunita Mandala, S.Kom;2021;P;2.98;3.05;3.64;3.18;3.35;1;143;4;19;98;Aktif;0;3.21;0.99;0.2;1
2020221099;Fathonah Nurdiyanti;2022;L;2.37;2.67;2.21;2.23;2.04;4;110;0;4;71;Aktif;0;2.37;0.76;-0.14;0
2020191100;Ella Suartini;2019;L;3.13;3.09;3.09;3.12;3.46;2;127;3;10;93;Tidak Aktif;0;3.11;0.88;-0.01;1
2020221101;T. Kurnia Hasanah;2022;P;3.24;3.45;3.69;3.04;3.8;1;126;3;19;89;Tidak Aktif;0;3.36;0.88;-0.2;1
2020181102;KH. Rafi Lazuardi;2018;L;2.9;3.86;3.92;3.06;3.28;1;143;5;16;93;Aktif;0;3.44;0.99;0.16;1
2020221103;Humaira Hutasoit, S.Pt;2022;L;2.7;2.04;2.25;2.44;2.48;8;79;1;2;52;Aktif;0;2.36;0.55;-0.26;0
2020201104;Malik Kurniawan, M.Pd;2020;P;3.24;3.41;3.75;3.04;3.25;1;128;4;19;92;Tidak Aktif;0;3.36;0.89;-0.2;1
2020221105;Rahmi Haryanto, M.Pd;2022;P;2.87;2.47;2.64;2.13;2.45;6;75;2;0;78;Tidak Aktif;1;2.53;0.52;-0.74;0
2020221106;Darimin Nurdiyanti;2022;P;3.09;3.2;3.38;3.02;3.32;0;127;3;10;88;Aktif;0;3.17;0.88;-0.07;1
2020191107;Yahya Lestari;2019;P;3.19;3.03;3.89;3.59;3.68;2;139;4;15;98;Tidak Aktif;0;3.42;0.97;0.4;1
2020211108;Eva Nainggolan, S.E.I;2021;L;2.4;1.91;2.64;2.7;2.75;6;92;1;5;60;Aktif;0;2.41;0.64;0.3;0
2020201109;Tgk. Oskar Hidayanto;2020;P;2.95;3.21;3.36;3.65;3.57;2;140;4;22;97;Aktif;0;3.29;0.97;0.7;1
2020211110;Pandu Maryadi, M.Farm;2021;L;3.98;3.57;3.24;3.1;3.15;1;133;4;13;92;Aktif;0;3.47;0.92;-0.88;1
2020221111;dr. Puti Tampubolon;2022;P;2.99;3.11;3.29;3.17;3.9;1;126;3;21;99;Tidak Aktif;0;3.14;0.88;0.18;1
2020211112;Tgk. Cemani Nashiruddin;2021;L;3.43;3.35;3.98;3.11;3.4;0;133;5;14;89;Tidak Aktif;0;3.47;0.92;-0.32;1
2020211113;Drs. Ikhsan Mandala;2021;L;2.84;2.86;2.31;2.21;2.67;3;110;2;3;72;Aktif;1;2.55;0.76;-0.63;0
2020221114;Bahuwirya Utami;2022;L;2.47;2.54;2.34;2.92;2.19;7;96;0;3;76;Aktif;1;2.57;0.67;0.45;0
2020181115;R. Bella Narpati, S.H.;2018;L;3.31;3.46;3.24;3.11;3.61;1;134;5;18;93;Tidak Aktif;0;3.28;0.93;-0.2;1
2020211116;Darimin Melani;2021;L;3.5;3.07;3.48;3.53;3.05;1;142;3;22;86;Aktif;0;3.4;0.99;0.03;1
2020181117;Aswani Prasetya;2018;P;2.96;2.97;3.99;3.32;3.81;1;135;5;18;80;Tidak Aktif;0;3.31;0.94;0.36;1
2020201118;Ikhsan Hutasoit;2020;P;3.62;3.74;3.6;3.47;3.41;0;139;5;25;91;Tidak Aktif;0;3.61;0.97;-0.15;1
2020221119;Prayogo Prasetya;2022;P;3.92;3.81;3.97;3.12;3.73;1;135;3;17;98;Tidak Aktif;0;3.71;0.94;-0.8;1
2020191120;Drs. Harjo Susanti, M.Farm;2019;P;2.02;1.89;2.89;2.69;2.84;3;90;2;7;72;Tidak Aktif;1;2.37;0.62;0.67;0
2020191121;Jaya Farida;2019;P;3.75;3.12;3.16;3.16;3.81;0;129;5;20;83;Tidak Aktif;0;3.3;0.9;-0.59;1
2020181122;Koko Yulianti;2018;P;2.43;2.27;3.05;2.47;2.82;3;116;0;6;77;Aktif;0;2.56;0.81;0.04;0
2020211123;Kartika Tarihoran;2021;P;3.25;3.41;3.3;3.75;3.5;1;144;5;22;100;Aktif;0;3.43;1.0;0.5;1
2020201124;Bagas Maryati;2020;P;3.88;3.32;3.54;3.91;3.62;1;140;5;11;99;Aktif;0;3.66;0.97;0.03;1
2020191125;Wardaya Riyanti;2019;P;3.93;3.59;3.33;3.14;3.79;0;127;4;13;100;Aktif;0;3.5;0.88;-0.79;1
2020211126;Puput Wahyuni, S.IP;2021;L;3.44;3.88;3.79;3.15;3.31;2;134;3;11;90;Aktif;0;3.56;0.93;-0.29;1
2020201127;Gara Agustina;2020;P;3.69;2.94;3.57;3.76;3.88;1;138;3;17;96;Tidak Aktif;0;3.49;0.96;0.07;1
2020221128;Garan Thamrin;2022;L;3.79;3.02;3.85;3.13;3.4;0;130;3;22;99;Aktif;0;3.45;0.9;-0.66;1
2020211129;Daru Hasanah;2021;L;1.98;2.1;2.87;2.86;2.64;4;99;2;4;64;Tidak Aktif;0;2.45;0.69;0.88;0
2020211130;Cengkal Mahendra, M.Farm;2021;P;2.45;2.13;2.41;2.22;2.91;8;104;0;1;64;Tidak Aktif;1;2.3;0.72;-0.23;0
2020211131;Citra Uwais;2021;P;3.28;3.41;3.95;3.15;3.59;1;134;3;22;95;Aktif;0;3.45;0.93;-0.13;1
2020191132;KH. Karman Pranowo;2019;P;3.53;2.92;3.87;3.93;3.57;2;136;5;19;89;Aktif;0;3.56;0.94;0.4;1
2020211133;Kasiran Prasetya, S.Gz;2021;P;2.91;2.72;2.18;2.69;2.61;3;106;2;0;79;Tidak Aktif;1;2.62;0.74;-0.22;0
2020191134;Cakrawangsa Prakasa;2019;P;3.68;3.93;3.93;3.45;3.11;0;131;5;18;84;Aktif;0;3.75;0.91;-0.23;1
2020181135;H. Luwes Hidayanto;2018;P;2.81;1.96;3.11;3.04;2.52;6;72;2;5;73;Aktif;0;2.73;0.5;0.23;0
2020201136;Pia Mandasari;2020;P;3.28;2.96;3.34;3.8;3.0;2;138;3;16;84;Tidak Aktif;0;3.34;0.96;0.52;1
2020221137;Kawaya Yolanda;2022;P;3.28;3.49;3.92;3.35;3.35;0;133;4;19;90;Aktif;0;3.51;0.92;0.07;1
2020211138;Yunita Suartini, M.Pd;2021;L;2.34;2.09;2.54;2.17;2.18;4;118;0;6;77;Tidak Aktif;0;2.29;0.82;-0.17;0
2020211139;R. Michelle Sudiati, S.Sos;2021;L;3.3;3.91;3.36;3.58;3.63;1;142;3;24;91;Tidak Aktif;0;3.54;0.99;0.28;1
2020221140;Gandewa Safitri;2022;P;3.6;3.1;3.96;3.15;3.41;2;136;3;17;95;Aktif;0;3.45;0.94;-0.45;1
2020221141;Ulva Nashiruddin;2022;P;4.0;3.45;3.6;3.07;3.75;2;132;5;12;100;Tidak Aktif;0;3.53;0.92;-0.93;1
2020201142;Narji Budiman;2020;P;3.88;3.13;3.19;3.04;3.47;0;129;3;11;89;Tidak Aktif;0;3.31;0.9;-0.84;1
2020181143;Alika Pranowo;2018;L;2.88;3.75;3.45;3.52;3.44;0;142;3;22;94;Tidak Aktif;0;3.4;0.99;0.64;1
2020221144;Kunthara Tamba;2022;P;3.47;3.07;3.18;3.86;3.95;2;129;4;13;95;Tidak Aktif;0;3.4;0.9;0.39;1
2020201145;Bala Hariyah;2020;L;3.12;3.61;3.41;3.03;3.16;2;136;3;24;94;Aktif;0;3.29;0.94;-0.09;1
2020201146;Ophelia Hidayanto;2020;L;2.59;1.84;2.27;2.28;2.67;8;93;2;5;51;Tidak Aktif;1;2.24;0.65;-0.31;0
2020191147;Lasmanto Mangunsong;2019;L;2.92;3.78;3.18;3.65;3.24;1;127;5;16;100;Aktif;0;3.38;0.88;0.73;1
2020181148;Empluk Kusmawati;2018;P;3.09;3.69;3.86;3.83;3.4;0;129;5;16;82;Aktif;0;3.62;0.9;0.74;1
2020221149;Dalimin Farida;2022;L;2.05;2.18;3.08;2.02;2.09;4;91;0;9;50;Tidak Aktif;0;2.33;0.63;-0.03;0
2020191150;R.A. Nilam Yuliarti, M.Farm;2019;P;2.83;3.1;3.58;3.42;3.89;0;128;5;10;84;Aktif;0;3.23;0.89;0.59;1
2020201151;Hasan Laksmiwati;2020;L;2.21;2.14;2.46;2.71;2.27;7;90;0;2;58;Aktif;0;2.38;0.62;0.5;0
2020211152;Kartika Kusmawati;2021;L;3.29;3.51;3.44;3.29;3.95;2;127;4;24;91;Aktif;0;3.38;0.88;0.0;1
2020211153;Bella Zulkarnain;2021;L;1.97;2.93;2.58;3.07;2.8;7;72;2;8;59;Tidak Aktif;0;2.64;0.5;1.1;0
2020181154;Tgk. Timbul Samosir, S.Kom;2018;P;2.83;3.2;3.54;3.63;3.26;1;138;5;13;95;Tidak Aktif;0;3.3;0.96;0.8;1
2020181155;Sutan Gada Irawan;2018;L;3.8;3.98;3.53;3.17;3.27;1;144;3;12;84;Tidak Aktif;0;3.62;1.0;-0.63;1
2020221156;Ir. Ifa Pudjiastuti;2022;P;3.9;3.03;3.58;3.27;3.55;1;144;5;19;94;Tidak Aktif;0;3.44;1.0;-0.63;1
2020181157;Prasetya Suryono;2018;L;2.8;2.07;2.01;2.16;2.9;8;111;2;3;63;Tidak Aktif;0;2.26;0.77;-0.64;0
2020211158;Anita Nuraini, M.M.;2021;P;2.52;2.58;2.8;2.21;2.91;6;95;1;1;60;Tidak Aktif;1;2.53;0.66;-0.31;0
2020201159;dr. Farhunnisa Yuliarti;2020;P;3.26;3.47;3.05;3.17;3.74;0;140;3;12;82;Aktif;0;3.24;0.97;-0.09;1
2020211160;Cut Lalita Suryono;2021;L;3.52;3.17;3.39;3.29;3.36;2;136;3;11;98;Tidak Aktif;0;3.34;0.94;-0.23;1
2020181161;Hana Prasetyo;2018;P;2.16;2.54;2.57;2.8;2.94;5;112;1;0;59;Tidak Aktif;1;2.52;0.78;0.64;0
2020181162;Yusuf Rahayu;2018;L;2.06;1.84;2.31;2.71;2.05;4;112;1;3;77;Aktif;1;2.23;0.78;0.65;0
2020221163;Laswi Winarno, S.Gz;2022;P;3.52;3.27;3.77;3.11;3.08;0;133;5;17;93;Aktif;0;3.42;0.92;-0.41;1
2020221164;Empluk Pertiwi;2022;P;2.39;2.69;2.52;2.3;2.82;3;81;1;4;79;Tidak Aktif;1;2.47;0.56;-0.09;0
2020181165;T. Garan Wulandari, M.Pd;2018;L;2.63;2.15;2.71;2.43;2.09;4;106;2;6;52;Aktif;0;2.48;0.74;-0.2;0
2020181166;R.M. Kusuma Rahmawati;2018;L;1.96;3.04;2.54;2.22;2.54;6;96;1;5;55;Tidak Aktif;1;2.44;0.67;0.26;0
2020201167;Drs. Kania Sitompul, S.IP;2020;L;2.68;2.85;2.79;2.83;2.85;3;79;0;9;51;Aktif;1;2.79;0.55;0.15;0
2020211168;Tania Mangunsong, M.Ak;2021;P;3.39;3.14;3.99;3.94;3.04;1;144;4;23;88;Aktif;0;3.61;1.0;0.55;1
2020221169;Tgk. Cengkir Siregar;2022;L;2.91;2.03;2.68;3.1;2.03;5;97;0;4;71;Tidak Aktif;1;2.68;0.67;0.19;0
2020181170;Intan Permata;2018;L;2.16;3.0;3.17;3.13;2.47;6;108;0;0;56;Tidak Aktif;0;2.87;0.75;0.97;0
2020191171;KH. Hendra Winarsih, S.Farm;2019;P;2.81;2.21;2.99;2.04;2.6;5;90;0;0;65;Tidak Aktif;0;2.51;0.62;-0.77;0
2020191172;Balijan Wijayanti, S.Psi;2019;P;2.94;2.98;3.7;3.34;3.72;2;132;5;21;82;Tidak Aktif;0;3.24;0.92;0.4;1
2020181173;Upik Agustina;2018;P;3.18;3.49;3.79;3.32;3.63;0;139;3;20;98;Tidak Aktif;0;3.45;0.97;0.14;1
2020221174;Alika Hidayanto;2022;P;2.54;2.1;2.03;3.04;2.02;8;110;1;4;53;Tidak Aktif;0;2.43;0.76;0.5;0
2020201175;Damar Safitri;2020;L;2.43;3.02;2.96;3.2;2.35;7;99;2;5;52;Tidak Aktif;0;2.9;0.69;0.77;0
2020191176;H. Marsudi Prasetyo;2019;P;2.28;2.42;2.75;3.05;2.98;7;95;2;1;62;Tidak Aktif;1;2.62;0.66;0.77;0
2020191177;Samsul Nainggolan, S.Kom;2019;P;2.3;2.35;2.89;2.29;2.11;4;74;2;1;66;Aktif;1;2.46;0.51;-0.01;0
2020201178;Asirwanda Marbun;2020;L;3.14;3.23;3.23;3.04;3.02;0;128;3;18;86;Aktif;0;3.16;0.89;-0.1;1
